#Simulate Step number,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading,Time taken by task
199.0000,89.1008,28.6800,2.0000,25.7721,0.0025,25.7721,89.1008,44
200.0000,89.2339,28.4329,-0.0008,25.7721,-0.0000,25.7721,89.2339,39
201.0000,89.3783,28.6610,-0.0008,25.7721,-0.0000,25.7721,89.3783,16
202.0000,89.6256,30.7174,-0.0008,25.7720,-0.0000,25.7720,89.6256,69
203.0000,89.7358,28.0266,2.0000,25.8720,0.1023,25.8720,89.7358,67
204.0000,89.8993,29.0426,-4.0000,25.6720,0.0948,25.6720,89.8993,72
205.0000,90.0569,28.8733,2.0000,25.7720,0.0025,25.7720,90.0569,53
206.0000,90.3006,30.6456,-0.0008,25.7720,-0.0000,25.7720,90.3006,47
207.0000,90.5379,30.5693,2.0000,25.8720,0.0025,25.8720,90.5379,70
208.0000,90.7306,29.7744,2.0000,25.9720,0.0025,25.9720,90.7306,19
209.0000,90.9555,30.5218,2.0000,26.0720,0.0025,26.0720,90.9555,52
210.0000,91.0416,27.8439,2.0000,26.1720,0.0025,26.1720,91.0416,54
211.0000,91.2477,30.2937,-0.0008,26.1719,-0.0000,26.1719,91.2477,55
212.0000,91.3126,27.5200,2.0000,26.2719,0.0025,26.2719,91.3126,59
213.0000,92.7915,29.5783,0.0000,0.0100,0.0100,26.2719,92.7915,1
214.0000,92.8778,28.0468,2.0000,26.3719,0.0025,26.3719,92.8778,23
215.0000,92.9841,28.4982,-0.0008,26.3719,-0.0000,26.3719,92.9841,53
216.0000,93.1391,29.4725,-0.0008,26.3719,-0.0000,26.3719,93.1391,18
217.0000,93.3288,30.2158,2.0000,26.4719,0.0025,26.4719,93.3288,89
218.0000,93.4074,28.0932,2.0000,26.5719,0.0025,26.5719,93.4074,39
219.0000,93.4378,27.1803,-0.0008,26.5718,-0.0000,26.5718,93.4378,45
220.0000,93.6238,30.2913,-0.0008,26.5718,-0.0000,26.5718,93.6238,120
221.0000,93.7351,28.8485,2.0000,26.6718,0.0025,26.6718,93.7351,62
222.0000,93.8242,28.4528,-0.0008,26.6717,-0.0000,26.6717,93.8242,56
223.0000,93.8789,27.7659,-0.0008,26.6717,-0.0000,26.6717,93.8789,77
224.0000,94.0805,30.7038,-0.0008,26.6717,-0.0000,26.6717,94.0805,45
225.0000,94.1491,28.0930,2.0000,26.7717,0.0025,26.7717,94.1491,31
226.0000,94.1659,27.1077,-0.0008,26.7716,-0.0000,26.7716,94.1659,72
227.0000,94.2772,28.9971,-0.0008,26.7716,-0.0000,26.7716,94.2772,69
228.0000,94.3963,29.1554,-0.0008,26.7715,-0.0000,26.7715,94.3963,76
229.0000,94.5069,28.9822,-0.0008,26.7715,-0.0000,26.7715,94.5069,44
230.0000,94.6834,30.3026,-0.0008,26.7715,-0.0000,26.7715,94.6834,43
231.0000,94.8443,30.0390,2.0000,26.8715,0.1023,26.8715,94.8443,20
232.0000,95.0089,30.2137,2.0000,26.9715,0.0025,26.9715,95.0089,43
233.0000,95.0085,27.0126,2.0000,27.0715,0.0025,27.0715,95.0085,40
234.0000,95.0144,27.1897,-0.0008,27.0714,-0.0000,27.0714,95.0144,25
235.0000,95.1008,28.7984,-0.0008,27.0714,-0.0000,27.0714,95.1008,54
236.0000,95.2603,30.2627,-0.0008,27.0713,-0.0000,27.0713,95.2603,101
237.0000,95.4161,30.2368,2.0000,27.1713,0.0025,27.1713,95.4161,90
238.0000,95.5947,30.7807,1.4956,27.2461,0.0019,27.2461,95.5947,13
239.0000,95.5995,27.3928,2.0000,27.3461,0.0025,27.3461,95.5995,64
240.0000,95.6417,28.0902,-4.0000,27.1461,0.0948,27.1461,95.6417,46
241.0000,97.1542,30.2495,0.0000,0.0100,0.0100,27.1461,97.1542,0
242.0000,97.1576,27.2643,2.0000,27.2461,0.0025,27.2461,97.1576,37
243.0000,97.2472,29.0377,-0.0008,27.2461,-0.0000,27.2461,97.2472,54
244.0000,97.4204,30.7108,-0.0008,27.2460,-0.0000,27.2460,97.4204,48
245.0000,97.5475,29.8374,2.0000,27.3460,0.0025,27.3460,97.5475,67
246.0000,97.5349,27.0934,-0.0008,27.3460,-0.0000,27.3460,97.5349,46
247.0000,97.6777,30.2032,-0.0008,27.3460,-0.0000,27.3460,97.6777,23
248.0000,97.7989,29.8203,2.0000,27.4460,0.0025,27.4460,97.7989,51
249.0000,97.8300,28.0668,-0.0008,27.4459,-0.0000,27.4459,97.8300,13
250.0000,97.9669,30.1850,-0.0008,27.4459,-0.0000,27.4459,97.9669,23
251.0000,98.0799,29.7559,2.0000,27.5459,0.0025,27.5459,98.0799,33
252.0000,98.0658,27.2622,-0.0008,27.5458,-0.0000,27.5458,98.0658,35
253.0000,99.4385,27.4541,0.0000,0.0100,0.0100,27.5458,99.4385,0
254.0000,99.5073,28.9216,-0.0008,27.5458,-0.0000,27.5458,99.5073,21
255.0000,99.4908,27.2174,-0.0008,27.5458,-0.0000,27.5458,99.4908,17
256.0000,99.4848,27.4246,-0.0008,27.5457,-0.0000,27.5457,99.4848,60
257.0000,99.6265,30.3810,-0.0008,27.5457,-0.0000,27.5457,99.6265,38
258.0000,99.6027,27.1193,2.0000,27.6457,0.0025,27.6457,99.6027,65
259.0000,99.6816,29.2240,-0.0008,27.6456,-0.0000,27.6456,99.6816,25
260.0000,99.8112,30.2360,-0.0008,27.6456,-0.0000,27.6456,99.8112,61
261.0000,99.8737,28.9468,2.0000,27.7456,0.0025,27.7456,99.8737,42
262.0000,99.8981,28.2329,-0.0008,27.7456,-0.0000,27.7456,99.8981,14
263.0000,99.8722,27.2281,-0.0008,27.7455,-0.0000,27.7455,99.8722,28
264.0000,99.9936,30.1741,-0.0008,27.7455,-0.0000,27.7455,99.9936,27
265.0000,100.1498,30.9176,2.0000,27.8455,0.0025,27.8455,100.1498,169
266.0000,100.1883,28.6673,2.0000,27.9455,0.0025,27.9455,100.1883,13
267.0000,100.2086,28.3507,-0.0008,27.9454,-0.0000,27.9454,100.2086,67
268.0000,100.2892,29.5574,-0.0008,27.9454,-0.0000,27.9454,100.2892,35
269.0000,100.4250,30.6606,-0.0008,27.9454,-0.0000,27.9454,100.4250,34
270.0000,100.5331,30.1584,2.0000,28.0454,0.0025,28.0454,100.5331,85
271.0000,100.5589,28.5612,-0.0008,28.0453,-0.0000,28.0453,100.5589,33
272.0000,100.6610,30.0862,-0.0008,28.0453,-0.0000,28.0453,100.6610,34
273.0000,100.7620,30.0652,-0.0008,28.0452,-0.0000,28.0452,100.7620,37
