Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
227,538.259,14.7561,2,22.8,0.0025,22.8,538.259
228,537.854,14.7561,2,22.9,0.0025,22.9,537.854
229,537.445,14.7561,2,23,0.0025,23,537.445
230,537.03,14.7561,2,23.1,0.0025,23.1,537.03
231,536.61,14.7561,2,23.2,0.0025,23.2,536.61
232,536.186,14.7561,2,23.3,0.0025,23.3,536.186
233,535.756,14.7561,2,23.4,0.0025,23.4,535.756
234,535.321,14.7561,2,23.5,0.0025,23.5,535.321
235,534.882,14.7561,2,23.6,0.0025,23.6,534.882
236,534.437,14.7561,2,23.7,0.0025,23.7,534.437
237,533.987,14.7561,2,23.8,0.0025,23.8,533.987
238,533.533,14.7561,2,23.9,0.0025,23.9,533.533
239,533.073,14.7561,2,24,0.0025,24,533.073
240,532.608,14.7561,2,24.1,0.0025,24.1,532.608
241,532.138,14.7561,2,24.2,0.0025,24.2,532.138
242,531.664,14.7561,2,24.3,0.197946,24.3,531.664
243,531.184,14.7561,2,24.4,0.0025,24.4,531.184
244,530.699,14.7561,2,24.5,0.0025,24.5,530.699
245,530.21,14.7561,2,24.6,0.0025,24.6,530.21
246,529.715,14.7561,2,24.7,0.0025,24.7,529.715
247,529.215,14.7561,2,24.8,0.0025,24.8,529.215
248,528.711,14.7561,2,24.9,0.0025,24.9,528.711
249,528.201,14.7561,2,25,0.0025,25,528.201
250,527.686,14.7561,2,25.1,0.0025,25.1,527.686
251,527.166,14.7561,2,25.2,0.00249991,25.2,527.166
252,526.642,14.7561,2,25.3,0.0025,25.3,526.642
253,526.112,14.7561,2,25.4,0.0025,25.4,526.112
254,525.577,14.7561,2,25.5,0.0025,25.5,525.577
255,525.038,14.7561,2,25.6,0.0025,25.6,525.038
256,524.493,14.7561,2,25.7,0.0025,25.7,524.493
257,523.943,14.7561,2,25.8,3.73492,25.8,523.943
258,523.389,14.7561,2,25.9,3.73492,25.9,523.389
259,522.829,14.7561,2,26,3.73492,26,522.829
260,522.264,14.7561,2,26.1,0.0025,26.1,522.264
261,521.694,14.7561,2,26.2,0.0025,26.2,521.694
262,521.12,14.7561,2,26.3,0.0025,26.3,521.12
263,520.54,14.7561,2,26.4,0.0025,26.4,520.54
264,519.955,14.7561,2,26.5,3.73492,26.5,519.955
265,519.366,14.7561,2,26.6,-9.999e-09,26.6,519.366
266,518.771,14.7561,2,26.7,0.0025,26.7,518.771
267,518.171,14.7561,2,26.8,0.197946,26.8,518.171
268,517.567,14.7561,2,26.9,3.73492,26.9,517.567
269,516.957,14.7561,2,27,0.0025,27,516.957
270,516.342,14.7561,2,27.1,3.73492,27.1,516.342
271,515.723,14.7561,2,27.2,3.73492,27.2,515.723
272,515.098,14.7561,2,27.3,0.0025,27.3,515.098
273,514.468,14.7561,2,27.4,3.73492,27.4,514.468
274,513.833,14.7561,2,27.5,0.0025,27.5,513.833
275,513.194,14.7561,2,27.6,3.73492,27.6,513.194
276,512.549,14.7561,2,27.7,0.0025,27.7,512.549
277,511.899,14.7561,2,27.8,0.0025,27.8,511.899
278,511.245,14.7561,2,27.9,0.0025,27.9,511.245
279,510.585,14.7561,2,28,0.0025,28,510.585
280,509.92,14.7561,2,28.1,0.0025,28.1,509.92
281,509.251,14.7561,2,28.2,0.0025,28.2,509.251
282,508.576,14.7561,2,28.3,0.0025,28.3,508.576
283,507.896,14.7561,2,28.4,0.0025,28.4,507.896
284,507.211,14.7561,2,28.5,0.0025,28.5,507.211
285,506.522,14.7561,2,28.6,0.0025,28.6,506.522
286,505.827,14.7561,2,28.7,0.0025,28.7,505.827
287,505.129,14.7561,0.620374,28.731,0.000775467,28.731,505.129
288,504.43,14.7561,0.0520086,28.7336,6.50107e-05,28.7336,504.43
289,503.731,14.7561,0.0126415,28.7343,1.58018e-05,28.7343,503.731
290,503.032,14.7561,0.00991502,28.7347,1.23938e-05,28.7347,503.032
291,502.334,14.7561,0.00972647,28.7352,1.21581e-05,28.7352,502.334
292,501.635,14.7561,0.00971372,28.7357,1.21421e-05,28.7357,501.635
293,500.936,14.7561,0.00971315,28.7362,1.21414e-05,28.7362,500.936
294,500.237,14.7561,0.00971343,28.7367,1.21418e-05,28.7367,500.237
295,499.538,14.7561,0.00971376,28.7372,1.21422e-05,28.7372,499.538
296,498.838,14.7561,0.0097141,28.7377,1.21426e-05,28.7377,498.838
297,498.139,14.7561,0.00971443,28.7381,1.2143e-05,28.7381,498.139
298,497.44,14.7561,0.00971477,28.7386,1.21435e-05,28.7386,497.44
299,496.741,14.7561,0.00971511,28.7391,1.21439e-05,28.7391,496.741
300,496.042,14.7561,0.0122431,28.7397,0.195461,28.7397,496.042
301,495.343,14.7561,0.00736329,28.7401,9.20411e-06,28.7401,495.343
302,494.644,14.7561,0.0120808,28.7407,0.195461,28.7407,494.644
303,493.944,14.7561,0.00796407,28.7411,0.0472931,28.7411,493.944
