Simulate Step number ,Current lidar reading,Estimated lead car speed from lidar reading,Acceleration command from MPC,Speed command from MPC,Distance command from MPC,Measure Speed,Update lidar reading
201,648.026,24.7561,2,20.2,0.0025,20.2,648.026
202,648.252,24.7561,2,20.3,0.0025,20.3,648.252
203,648.472,24.7561,2,20.4,0.0025,20.4,648.472
204,648.687,24.7561,2,20.5,0.0025,20.5,648.687
205,648.898,24.7561,2,20.6,3.78758,20.6,648.898
206,649.103,24.7561,2,20.7,0.0025,20.7,649.103
207,649.303,24.7561,2,20.8,0.00250024,20.8,649.303
208,649.498,24.7561,2,20.9,0.0025,20.9,649.498
209,649.689,24.7561,2,21,0.0025,21,649.689
210,649.874,24.7561,2,21.1,0.0025,21.1,649.874
211,650.054,24.7561,2,21.2,0.0025,21.2,650.054
212,650.23,24.7561,2,21.3,0.0025,21.3,650.23
213,650.4,24.7561,2,21.4,0.0025,21.4,650.4
214,650.565,24.7561,2,21.5,0.0025,21.5,650.565
215,650.726,24.7561,2,21.6,0.0025,21.6,650.726
216,650.881,24.7561,2,21.7,0.0025,21.7,650.881
217,651.031,24.7561,2,21.8,0.0025,21.8,651.031
218,651.176,24.7561,2,21.9,0.0025,21.9,651.176
219,651.317,24.7561,2,22,0.0025,22,651.317
220,651.452,24.7561,2,22.1,0.0025,22.1,651.452
221,651.582,24.7561,2,22.2,0.0025,22.2,651.582
222,651.708,24.7561,2,22.3,0.0025,22.3,651.708
223,651.828,24.7561,2,22.4,0.0025,22.4,651.828
224,651.943,24.7561,2,22.5,0.0025,22.5,651.943
225,652.054,24.7561,2,22.6,0.0025,22.6,652.054
226,652.159,24.7561,2,22.7,-9.999e-09,22.7,652.159
227,652.259,24.7561,2,22.8,0.0025,22.8,652.259
228,652.354,24.7561,2,22.9,0.0025,22.9,652.354
229,652.445,24.7561,2,23,0.0025,23,652.445
230,652.53,24.7561,2,23.1,0.0025,23.1,652.53
231,652.61,24.7561,2,23.2,0.0025,23.2,652.61
232,652.686,24.7561,2,23.3,0.0025,23.3,652.686
233,652.756,24.7561,2,23.4,0.0025,23.4,652.756
234,652.821,24.7561,2,23.5,0.0025,23.5,652.821
235,652.882,24.7561,2,23.6,0.0025,23.6,652.882
236,652.937,24.7561,2,23.7,0.00259144,23.7,652.937
237,652.987,24.7561,2,23.8,0.0025,23.8,652.987
238,653.033,24.7561,2,23.9,0.0025,23.9,653.033
239,653.073,24.7561,2,24,0.0025,24,653.073
240,653.108,24.7561,2,24.1,0.0525,24.1,653.108
241,653.138,24.7561,2,24.2,0.0025,24.2,653.138
242,653.164,24.7561,2,24.3,0.0025,24.3,653.164
243,653.184,24.7561,2,24.4,0.0025,24.4,653.184
244,653.199,24.7561,2,24.5,0.0025,24.5,653.199
245,653.21,24.7561,2,24.6,0.0025,24.6,653.21
246,653.215,24.7561,2,24.7,0.0025,24.7,653.215
247,653.215,24.7561,2,24.8,0.0025,24.8,653.215
248,653.211,24.7561,2,24.9,0.0025,24.9,653.211
249,653.201,24.7561,2,25,0.0025,25,653.201
250,653.186,24.7561,2,25.1,0.0025,25.1,653.186
251,653.166,24.7561,2,25.2,0.0025,25.2,653.166
252,653.142,24.7561,2,25.3,0.0025,25.3,653.142
253,653.112,24.7561,2,25.4,0.0025,25.4,653.112
254,653.077,24.7561,2,25.5,0.0025,25.5,653.077
255,653.038,24.7561,2,25.6,0.0025,25.6,653.038
256,652.993,24.7561,2,25.7,0.0025,25.7,652.993
257,652.943,24.7561,2,25.8,0.00259144,25.8,652.943
258,652.889,24.7561,2,25.9,0.0025,25.9,652.889
259,652.829,24.7561,2,26,0.0025,26,652.829
260,652.764,24.7561,2,26.1,0.0025,26.1,652.764
261,652.694,24.7561,2,26.2,0.0025,26.2,652.694
262,652.62,24.7561,2,26.3,0.0025,26.3,652.62
263,652.54,24.7561,2,26.3911,0.000396816,26.4,652.54
264,652.455,24.7561,2,26.5,0.0025,26.5,652.455
265,652.366,24.7561,2,26.6,0.0697379,26.6,652.366
266,652.271,24.7561,2,26.7,0.0025,26.7,652.271
267,652.171,24.7561,2,26.8,0.0025,26.8,652.171
268,652.067,24.7561,2,26.9,0.0025,26.9,652.067
269,651.957,24.7561,2,27,0.0025,27,651.957
270,651.842,24.7561,2,27.1,0.0025,27.1,651.842
271,651.723,24.7561,2,27.2,0.0025,27.2,651.723
272,651.598,24.7561,2,27.3,0.0025,27.3,651.598
273,651.468,24.7561,2,27.4,0.0025,27.4,651.468
274,651.333,24.7561,2,27.5,0.0025,27.5,651.333
275,651.194,24.7561,2,27.6,0.0025,27.6,651.194
276,651.049,24.7561,2,27.7,0.0025,27.7,651.049
277,650.899,24.7561,2,27.8,0.0025,27.8,650.899
278,650.745,24.7561,2,27.9,0.0025,27.9,650.745
279,650.585,24.7561,2,28,0.0025,28,650.585
280,650.42,24.7561,2,28.1,0.0025,28.1,650.42
281,650.251,24.7561,2,28.2,0.0025,28.2,650.251
282,650.076,24.7561,2,28.3,0.0025,28.3,650.076
283,649.896,24.7561,2,28.4,0.0025,28.4,649.896
284,649.711,24.7561,2,28.5,0.0025,28.5,649.711
285,649.522,24.7561,2,28.6,0.0025,28.6,649.522
286,649.327,24.7561,2,28.7,0.0025,28.7,649.327
